# Databricks Gold Layer Physical Data Model
# Format: table_name|column_name|data_type|description|business_key|constraints

# Product Master Table
dim_product|product_id|STRING|Unique product identifier|PRIMARY_KEY|NOT_NULL
dim_product|product_name|STRING|Product display name|BUSINESS_KEY|NOT_NULL
dim_product|product_category|STRING|Product category classification||
dim_product|product_subcategory|STRING|Product subcategory classification||
dim_product|brand|STRING|Product brand name||
dim_product|unit_of_measure|STRING|Base unit of measurement||
dim_product|unit_cost|DECIMAL(10,2)|Standard unit cost||
dim_product|unit_price|DECIMAL(10,2)|Standard selling price||
dim_product|product_status|STRING|Active/Inactive status||
dim_product|created_date|TIMESTAMP|Record creation timestamp||
dim_product|updated_date|TIMESTAMP|Last update timestamp||

# Warehouse/Location Dimension
dim_location|location_id|STRING|Unique location identifier|PRIMARY_KEY|NOT_NULL
dim_location|warehouse_name|STRING|Warehouse display name|BUSINESS_KEY|NOT_NULL
dim_location|warehouse_code|STRING|Short warehouse code||
dim_location|address|STRING|Physical address||
dim_location|city|STRING|City name||
dim_location|state|STRING|State/Province||
dim_location|country|STRING|Country name||
dim_location|zone|STRING|Storage zone within warehouse||
dim_location|capacity|DECIMAL(12,2)|Total storage capacity||
dim_location|location_type|STRING|Warehouse/Store/Distribution Center||

# Supplier Dimension
dim_supplier|supplier_id|STRING|Unique supplier identifier|PRIMARY_KEY|NOT_NULL
dim_supplier|supplier_name|STRING|Supplier company name|BUSINESS_KEY|NOT_NULL
dim_supplier|supplier_code|STRING|Short supplier code||
dim_supplier|contact_person|STRING|Primary contact name||
dim_supplier|email|STRING|Contact email address||
dim_supplier|phone|STRING|Contact phone number||
dim_supplier|address|STRING|Supplier address||
dim_supplier|payment_terms|STRING|Payment terms||
dim_supplier|lead_time_days|INT|Standard lead time in days||
dim_supplier|supplier_rating|DECIMAL(3,2)|Performance rating||

# Date Dimension
dim_date|date_key|STRING|Date in YYYYMMDD format|PRIMARY_KEY|NOT_NULL
dim_date|full_date|DATE|Actual date value|BUSINESS_KEY|NOT_NULL
dim_date|year|INT|Year number||
dim_date|quarter|INT|Quarter number (1-4)||
dim_date|month|INT|Month number (1-12)||
dim_date|month_name|STRING|Month name||
dim_date|week_of_year|INT|Week number in year||
dim_date|day_of_month|INT|Day of month||
dim_date|day_of_week|INT|Day of week (1-7)||
dim_date|day_name|STRING|Day name||
dim_date|is_weekend|BOOLEAN|Weekend indicator||
dim_date|is_holiday|BOOLEAN|Holiday indicator||

# Inventory Facts Table
fact_inventory|inventory_key|STRING|Surrogate key for inventory record|PRIMARY_KEY|NOT_NULL
fact_inventory|product_id|STRING|Foreign key to dim_product|FOREIGN_KEY|NOT_NULL
fact_inventory|location_id|STRING|Foreign key to dim_location|FOREIGN_KEY|NOT_NULL
fact_inventory|date_key|STRING|Foreign key to dim_date|FOREIGN_KEY|NOT_NULL
fact_inventory|beginning_balance|DECIMAL(12,2)|Starting inventory quantity||
fact_inventory|receipts|DECIMAL(12,2)|Quantity received||
fact_inventory|issues|DECIMAL(12,2)|Quantity issued/sold||
fact_inventory|adjustments|DECIMAL(12,2)|Inventory adjustments||
fact_inventory|ending_balance|DECIMAL(12,2)|Ending inventory quantity||
fact_inventory|unit_cost|DECIMAL(10,2)|Unit cost at transaction||
fact_inventory|total_value|DECIMAL(15,2)|Total inventory value||
fact_inventory|reorder_point|DECIMAL(12,2)|Reorder point quantity||
fact_inventory|safety_stock|DECIMAL(12,2)|Safety stock level||
fact_inventory|max_stock|DECIMAL(12,2)|Maximum stock level||

# Purchase Orders Fact
