# Inventory Management Reporting Requirements
# Format: report_name|description|key_metrics|dimensions|frequency|visualization_recommendations

Stock_Level_Overview|Current inventory levels across all products|current_stock,reorder_point,max_stock,stock_value|product_category,warehouse_location,supplier|daily|bar_chart,heatmap,gauge_chart

Inventory_Turnover_Analysis|Product movement and turnover rates|turnover_ratio,days_in_inventory,cost_of_goods_sold,average_inventory|product_id,category,time_period|monthly|line_chart,bar_chart,scatter_plot

Low_Stock_Alert_Dashboard|Products approaching reorder points|current_quantity,reorder_level,lead_time,supplier_info|product_name,category,criticality|daily|table,bar_chart,pie_chart

ABC_Analysis_Report|Product classification by value and volume|annual_usage_value,percentage_of_total,cumulative_percentage|product_classification,category|quarterly|bar_chart,line_chart,table

Warehouse_Utilization_Report|Storage capacity and utilization metrics|used_capacity,total_capacity,utilization_percentage,available_space|warehouse_id,zone,product_type|weekly|gauge_chart,bar_chart,heatmap

Supplier_Performance_Dashboard|Vendor delivery and quality metrics|on_time_delivery_rate,quality_score,lead_time_variance,cost_variance|supplier_name,product_category,time_period|monthly|scatter_plot,bar_chart,line_chart

Demand_Forecasting_Report|Predicted future inventory needs|forecasted_demand,historical_demand,forecast_accuracy,seasonal_index|product_id,time_period,forecast_horizon|weekly|line_chart,area_chart,table

Inventory_Aging_Analysis|Age distribution of current stock|days_in_stock,aging_category,carrying_cost,obsolescence_risk|product_category,batch_number,location|monthly|histogram,bar_chart,pie_chart

Stock_Movement_Report|Inbound and outbound inventory transactions|receipts,issues,adjustments,net_movement|transaction_type,product_id,date_range|daily|waterfall_chart,line_chart,bar_chart

Cost_Analysis_Dashboard|Inventory-related cost breakdown|holding_cost,ordering_cost,shortage_cost,total_cost|cost_category,product_group,time_period|monthly|pie_chart,stacked_bar,treemap

Cycle_Count_Accuracy_Report|Physical count vs system accuracy|count_variance,accuracy_percentage,adjustment_value|counter_id,product_category,count_date|weekly|bar_chart,scatter_plot,table

Safety_Stock_Optimization|Optimal safety stock level recommendations|current_safety_stock,recommended_safety_stock,service_level,stockout_probability|product_id,demand_variability,lead_time_variability|monthly|scatter_plot,bar_chart,gauge_chart
